series_id,state,qtr_end,value_q,rule,q
A124797512R,WA,2010-03-31,10574,NA,2010Q1
A124797512R,WA,2010-06-30,10906,NA,2010Q2
A124797512R,WA,2010-09-30,11449,NA,2010Q3
A124797512R,WA,2010-12-31,11552,NA,2010Q4
A124797512R,WA,2011-03-31,12727,NA,2011Q1
A124797512R,WA,2011-06-30,14084,NA,2011Q2
A124797512R,WA,2011-09-30,16583,NA,2011Q3
A124797512R,WA,2011-12-31,17283,NA,2011Q4
A124797512R,WA,2012-03-31,20174,NA,2012Q1
A124797512R,WA,2012-06-30,22142,NA,2012Q2
A124797512R,WA,2012-09-30,20783,NA,2012Q3
A124797512R,WA,2012-12-31,20415,NA,2012Q4
A124797512R,WA,2013-03-31,17511,NA,2013Q1
A124797512R,WA,2013-06-30,19043,NA,2013Q2
A124797512R,WA,2013-09-30,19204,NA,2013Q3
A124797512R,WA,2013-12-31,17961,NA,2013Q4
A124797512R,WA,2014-03-31,17674,NA,2014Q1
A124797512R,WA,2014-06-30,18029,NA,2014Q2
A124797512R,WA,2014-09-30,18614,NA,2014Q3
A124797512R,WA,2014-12-31,17886,NA,2014Q4
A124797512R,WA,2015-03-31,17815,NA,2015Q1
A124797512R,WA,2015-06-30,16776,NA,2015Q2
A124797512R,WA,2015-09-30,15439,NA,2015Q3
A124797512R,WA,2015-12-31,15198,NA,2015Q4
A124797512R,WA,2016-03-31,13296,NA,2016Q1
A124797512R,WA,2016-06-30,11179,NA,2016Q2
A124797512R,WA,2016-09-30,9660,NA,2016Q3
A124797512R,WA,2016-12-31,9453,NA,2016Q4
A124797512R,WA,2017-03-31,9118,NA,2017Q1
A124797512R,WA,2017-06-30,9087,NA,2017Q2
A124797512R,WA,2017-09-30,9157,NA,2017Q3
A124797512R,WA,2017-12-31,8659,NA,2017Q4
A124797512R,WA,2018-03-31,8775,NA,2018Q1
A124797512R,WA,2018-06-30,8113,NA,2018Q2
A124797512R,WA,2018-09-30,7905,NA,2018Q3
A124797512R,WA,2018-12-31,7730,NA,2018Q4
A124797512R,WA,2019-03-31,7131,NA,2019Q1
A124797512R,WA,2019-06-30,7597,NA,2019Q2
A124797512R,WA,2019-09-30,7673,NA,2019Q3
A124797512R,WA,2019-12-31,7769,NA,2019Q4
A124797512R,WA,2020-03-31,8150,NA,2020Q1
A124797512R,WA,2020-06-30,8056,NA,2020Q2
A124797512R,WA,2020-09-30,8066,NA,2020Q3
A124797512R,WA,2020-12-31,8118,NA,2020Q4
A124797512R,WA,2021-03-31,8966,NA,2021Q1
A124797512R,WA,2021-06-30,9099,NA,2021Q2
A124797512R,WA,2021-09-30,9358,NA,2021Q3
A124797512R,WA,2021-12-31,9108,NA,2021Q4
A124797512R,WA,2022-03-31,9550,NA,2022Q1
A124797512R,WA,2022-06-30,9666,NA,2022Q2
A124797512R,WA,2022-09-30,8976,NA,2022Q3
A124797512R,WA,2022-12-31,9233,NA,2022Q4
A124797512R,WA,2023-03-31,9691,NA,2023Q1
A124797512R,WA,2023-06-30,10298,NA,2023Q2
A124797512R,WA,2023-09-30,11138,NA,2023Q3
A124797512R,WA,2023-12-31,11218,NA,2023Q4
A124797512R,WA,2024-03-31,10530,NA,2024Q1
A124797512R,WA,2024-06-30,10579,NA,2024Q2
A124797512R,WA,2024-09-30,10520,NA,2024Q3
A124797512R,WA,2024-12-31,10880,NA,2024Q4
A124797512R,WA,2025-03-31,11133,NA,2025Q1
A124797512R,WA,2025-06-30,11117,NA,2025Q2
A124797521T,TAS,1989-09-30,156,NA,1989Q3
A124797521T,TAS,1989-12-31,149,NA,1989Q4
A124797521T,TAS,1990-03-31,172,NA,1990Q1
A124797521T,TAS,1990-06-30,186,NA,1990Q2
A124797521T,TAS,1990-09-30,209,NA,1990Q3
A124797521T,TAS,1990-12-31,222,NA,1990Q4
A124797521T,TAS,1991-03-31,141,NA,1991Q1
A124797521T,TAS,1991-06-30,126,NA,1991Q2
A124797521T,TAS,1991-09-30,136,NA,1991Q3
A124797521T,TAS,1991-12-31,89,NA,1991Q4
A124797521T,TAS,1992-03-31,144,NA,1992Q1
A124797521T,TAS,1992-06-30,105,NA,1992Q2
A124797521T,TAS,1992-09-30,107,NA,1992Q3
A124797521T,TAS,1992-12-31,132,NA,1992Q4
A124797521T,TAS,1993-03-31,116,NA,1993Q1
A124797521T,TAS,1993-06-30,128,NA,1993Q2
A124797521T,TAS,1993-09-30,123,NA,1993Q3
A124797521T,TAS,1993-12-31,90,NA,1993Q4
A124797521T,TAS,1994-03-31,87,NA,1994Q1
A124797521T,TAS,1994-06-30,180,NA,1994Q2
A124797521T,TAS,1994-09-30,130,NA,1994Q3
A124797521T,TAS,1994-12-31,157,NA,1994Q4
A124797521T,TAS,1995-03-31,227,NA,1995Q1
A124797521T,TAS,1995-06-30,214,NA,1995Q2
A124797521T,TAS,1995-09-30,173,NA,1995Q3
A124797521T,TAS,1995-12-31,148,NA,1995Q4
A124797521T,TAS,1996-03-31,169,NA,1996Q1
A124797521T,TAS,1996-06-30,165,NA,1996Q2
A124797521T,TAS,1996-09-30,178,NA,1996Q3
A124797521T,TAS,1996-12-31,210,NA,1996Q4
A124797521T,TAS,1997-03-31,196,NA,1997Q1
A124797521T,TAS,1997-06-30,189,NA,1997Q2
A124797521T,TAS,1997-09-30,212,NA,1997Q3
A124797521T,TAS,1997-12-31,218,NA,1997Q4
A124797521T,TAS,1998-03-31,174,NA,1998Q1
A124797521T,TAS,1998-06-30,161,NA,1998Q2
A124797521T,TAS,1998-09-30,175,NA,1998Q3
A124797521T,TAS,1998-12-31,115,NA,1998Q4
A124797521T,TAS,1999-03-31,158,NA,1999Q1
A124797521T,TAS,1999-06-30,156,NA,1999Q2
A124797521T,TAS,1999-09-30,143,NA,1999Q3
A124797521T,TAS,1999-12-31,164,NA,1999Q4
A124797521T,TAS,2000-03-31,148,NA,2000Q1
A124797521T,TAS,2000-06-30,214,NA,2000Q2
A124797521T,TAS,2000-09-30,205,NA,2000Q3
A124797521T,TAS,2000-12-31,209,NA,2000Q4
A124797521T,TAS,2001-03-31,182,NA,2001Q1
A124797521T,TAS,2001-06-30,190,NA,2001Q2
A124797521T,TAS,2001-09-30,264,NA,2001Q3
A124797521T,TAS,2001-12-31,280,NA,2001Q4
A124797521T,TAS,2002-03-31,366,NA,2002Q1
A124797521T,TAS,2002-06-30,398,NA,2002Q2
A124797521T,TAS,2002-09-30,267,NA,2002Q3
A124797521T,TAS,2002-12-31,346,NA,2002Q4
A124797521T,TAS,2003-03-31,319,NA,2003Q1
A124797521T,TAS,2003-06-30,259,NA,2003Q2
A124797521T,TAS,2003-09-30,244,NA,2003Q3
A124797521T,TAS,2003-12-31,220,NA,2003Q4
A124797521T,TAS,2004-03-31,283,NA,2004Q1
A124797521T,TAS,2004-06-30,288,NA,2004Q2
A124797521T,TAS,2004-09-30,366,NA,2004Q3
A124797521T,TAS,2004-12-31,471,NA,2004Q4
A124797521T,TAS,2005-03-31,387,NA,2005Q1
A124797521T,TAS,2005-06-30,466,NA,2005Q2
A124797521T,TAS,2005-09-30,498,NA,2005Q3
A124797521T,TAS,2005-12-31,475,NA,2005Q4
A124797521T,TAS,2006-03-31,406,NA,2006Q1
A124797521T,TAS,2006-06-30,350,NA,2006Q2
A124797521T,TAS,2006-09-30,294,NA,2006Q3
A124797521T,TAS,2006-12-31,269,NA,2006Q4
A124797521T,TAS,2007-03-31,361,NA,2007Q1
A124797521T,TAS,2007-06-30,331,NA,2007Q2
A124797521T,TAS,2007-09-30,341,NA,2007Q3
A124797521T,TAS,2007-12-31,408,NA,2007Q4
A124797521T,TAS,2008-03-31,381,NA,2008Q1
A124797521T,TAS,2008-06-30,512,NA,2008Q2
A124797521T,TAS,2008-09-30,473,NA,2008Q3
A124797521T,TAS,2008-12-31,448,NA,2008Q4
A124797521T,TAS,2009-03-31,415,NA,2009Q1
A124797521T,TAS,2009-06-30,398,NA,2009Q2
A124797521T,TAS,2009-09-30,328,NA,2009Q3
A124797521T,TAS,2009-12-31,307,NA,2009Q4
A124797521T,TAS,2010-03-31,257,NA,2010Q1
A124797521T,TAS,2010-06-30,254,NA,2010Q2
A124797521T,TAS,2010-09-30,282,NA,2010Q3
A124797521T,TAS,2010-12-31,360,NA,2010Q4
A124797521T,TAS,2011-03-31,340,NA,2011Q1
A124797521T,TAS,2011-06-30,396,NA,2011Q2
A124797521T,TAS,2011-09-30,437,NA,2011Q3
A124797521T,TAS,2011-12-31,423,NA,2011Q4
A124797521T,TAS,2012-03-31,423,NA,2012Q1
A124797521T,TAS,2012-06-30,370,NA,2012Q2
A124797521T,TAS,2012-09-30,339,NA,2012Q3
A124797521T,TAS,2012-12-31,376,NA,2012Q4
A124797521T,TAS,2013-03-31,374,NA,2013Q1
A124797521T,TAS,2013-06-30,365,NA,2013Q2
A124797521T,TAS,2013-09-30,348,NA,2013Q3
A124797521T,TAS,2013-12-31,309,NA,2013Q4
A124797521T,TAS,2014-03-31,308,NA,2014Q1
A124797521T,TAS,2014-06-30,224,NA,2014Q2
A124797521T,TAS,2014-09-30,322,NA,2014Q3
A124797521T,TAS,2014-12-31,299,NA,2014Q4
A124797521T,TAS,2015-03-31,276,NA,2015Q1
A124797521T,TAS,2015-06-30,322,NA,2015Q2
A124797521T,TAS,2015-09-30,319,NA,2015Q3
A124797521T,TAS,2015-12-31,309,NA,2015Q4
A124797521T,TAS,2016-03-31,303,NA,2016Q1
A124797521T,TAS,2016-06-30,326,NA,2016Q2
A124797521T,TAS,2016-09-30,297,NA,2016Q3
A124797521T,TAS,2016-12-31,349,NA,2016Q4
A124797521T,TAS,2017-03-31,334,NA,2017Q1
A124797521T,TAS,2017-06-30,351,NA,2017Q2
A124797521T,TAS,2017-09-30,420,NA,2017Q3
A124797521T,TAS,2017-12-31,345,NA,2017Q4
A124797521T,TAS,2018-03-31,442,NA,2018Q1
A124797521T,TAS,2018-06-30,458,NA,2018Q2
A124797521T,TAS,2018-09-30,520,NA,2018Q3
A124797521T,TAS,2018-12-31,496,NA,2018Q4
A124797521T,TAS,2019-03-31,450,NA,2019Q1
A124797521T,TAS,2019-06-30,436,NA,2019Q2
A124797521T,TAS,2019-09-30,335,NA,2019Q3
A124797521T,TAS,2019-12-31,373,NA,2019Q4
A124797521T,TAS,2020-03-31,436,NA,2020Q1
A124797521T,TAS,2020-06-30,353,NA,2020Q2
A124797521T,TAS,2020-09-30,346,NA,2020Q3
A124797521T,TAS,2020-12-31,423,NA,2020Q4
A124797521T,TAS,2021-03-31,474,NA,2021Q1
A124797521T,TAS,2021-06-30,500,NA,2021Q2
A124797521T,TAS,2021-09-30,565,NA,2021Q3
A124797521T,TAS,2021-12-31,542,NA,2021Q4
A124797521T,TAS,2022-03-31,514,NA,2022Q1
A124797521T,TAS,2022-06-30,532,NA,2022Q2
A124797521T,TAS,2022-09-30,646,NA,2022Q3
A124797521T,TAS,2022-12-31,604,NA,2022Q4
A124797521T,TAS,2023-03-31,437,NA,2023Q1
A124797521T,TAS,2023-06-30,500,NA,2023Q2
A124797521T,TAS,2023-09-30,514,NA,2023Q3
A124797521T,TAS,2023-12-31,487,NA,2023Q4
A124797521T,TAS,2024-03-31,638,NA,2024Q1
A124797521T,TAS,2024-06-30,618,NA,2024Q2
A124797521T,TAS,2024-09-30,497,NA,2024Q3
A124797521T,TAS,2024-12-31,495,NA,2024Q4
A124797521T,TAS,2025-03-31,460,NA,2025Q1
A124797521T,TAS,2025-06-30,461,NA,2025Q2
A124797537K,AUS,1987-09-30,8354,NA,1987Q3
A124797537K,AUS,1987-12-31,8958,NA,1987Q4
A124797537K,AUS,1988-03-31,8952,NA,1988Q1
A124797537K,AUS,1988-06-30,9636,NA,1988Q2
A124797537K,AUS,1988-09-30,8907,NA,1988Q3
A124797537K,AUS,1988-12-31,10212,NA,1988Q4
A124797537K,AUS,1989-03-31,10770,NA,1989Q1
A124797537K,AUS,1989-06-30,11228,NA,1989Q2
A124797537K,AUS,1989-09-30,10650,NA,1989Q3
A124797537K,AUS,1989-12-31,10341,NA,1989Q4
A124797537K,AUS,1990-03-31,10212,NA,1990Q1
A124797537K,AUS,1990-06-30,9740,NA,1990Q2
A124797537K,AUS,1990-09-30,10158,NA,1990Q3
A124797537K,AUS,1990-12-31,9465,NA,1990Q4
A124797537K,AUS,1991-03-31,9225,NA,1991Q1
A124797537K,AUS,1991-06-30,8667,NA,1991Q2
A124797537K,AUS,1991-09-30,8188,NA,1991Q3
A124797537K,AUS,1991-12-31,7682,NA,1991Q4
A124797537K,AUS,1992-03-31,7562,NA,1992Q1
A124797537K,AUS,1992-06-30,7716,NA,1992Q2
A124797537K,AUS,1992-09-30,7807,NA,1992Q3
A124797537K,AUS,1992-12-31,8758,NA,1992Q4
A124797537K,AUS,1993-03-31,8293,NA,1993Q1
A124797537K,AUS,1993-06-30,7828,NA,1993Q2
A124797537K,AUS,1993-09-30,8258,NA,1993Q3
A124797537K,AUS,1993-12-31,8551,NA,1993Q4
A124797537K,AUS,1994-03-31,9024,NA,1994Q1
A124797537K,AUS,1994-06-30,9621,NA,1994Q2
A124797537K,AUS,1994-09-30,10179,NA,1994Q3
A124797537K,AUS,1994-12-31,10662,NA,1994Q4
A124797537K,AUS,1995-03-31,11029,NA,1995Q1
A124797537K,AUS,1995-06-30,11064,NA,1995Q2
A124797537K,AUS,1995-09-30,11338,NA,1995Q3
A124797537K,AUS,1995-12-31,11699,NA,1995Q4
A124797537K,AUS,1996-03-31,12465,NA,1996Q1
A124797537K,AUS,1996-06-30,14625,NA,1996Q2
A124797537K,AUS,1996-09-30,14034,NA,1996Q3
A124797537K,AUS,1996-12-31,14235,NA,1996Q4
A124797537K,AUS,1997-03-31,14880,NA,1997Q1
A124797537K,AUS,1997-06-30,15154,NA,1997Q2
A124797537K,AUS,1997-09-30,14783,NA,1997Q3
A124797537K,AUS,1997-12-31,15564,NA,1997Q4
A124797537K,AUS,1998-03-31,15409,NA,1998Q1
A124797537K,AUS,1998-06-30,15794,NA,1998Q2
A124797537K,AUS,1998-09-30,15965,NA,1998Q3
A124797537K,AUS,1998-12-31,15518,NA,1998Q4
A124797537K,AUS,1999-03-31,15916,NA,1999Q1
A124797537K,AUS,1999-06-30,14712,NA,1999Q2
A124797537K,AUS,1999-09-30,15891,NA,1999Q3
A124797537K,AUS,1999-12-31,15215,NA,1999Q4
A124797537K,AUS,2000-03-31,16367,NA,2000Q1
A124797537K,AUS,2000-06-30,16565,NA,2000Q2
A124797537K,AUS,2000-09-30,16151,NA,2000Q3
A124797537K,AUS,2000-12-31,15355,NA,2000Q4
A124797537K,AUS,2001-03-31,15349,NA,2001Q1
A124797537K,AUS,2001-06-30,15237,NA,2001Q2
A124797537K,AUS,2001-09-30,15378,NA,2001Q3
A124797537K,AUS,2001-12-31,15909,NA,2001Q4
